,adjective,count
0,u,794
1,new,629
2,american,521
3,last,482
4,military,410
5,many,374
6,national,328
7,taliban,284
8,s,272
9,british,269
10,afghanistan,252
11,former,251
12,afghan,238
13,uk,237
14,international,230
15,high,229
16,m,225
17,old,222
18,fake,213
19,foreign,211
20,first,207
21,free,204
22,white,202
23,right,182
24,due,181
25,full,180
26,general,179
27,next,176
28,public,175
29,kabul,172
30,local,167
31,russian,159
32,clear,157
33,social,156
34,north,152
35,key,146
36,snow,145
37,young,144
38,south,143
39,much,137
40,able,137
41,political,136
42,least,136
43,united,136
44,open,130
45,real,127
46,biden,127
47,big,122
48,monday,119
49,major,118
50,west,117
51,safe,116
52,latest,115
53,good,114
54,queen,113
55,thursday,111
56,friday,111
57,prime,110
58,soldier,110
59,official,107
60,possible,106
61,outside,106
62,second,105
63,tuesday,105
64,special,104
65,dead,104
66,republican,102
67,total,101
68,third,100
69,several,100
70,early,99
71,daily,98
72,central,95
73,small,94
74,bad,94
75,human,93
76,federal,92
77,black,92
78,final,91
79,northern,89
80,western,89
81,east,88
82,top,87
83,main,87
84,ukraine,87
85,sure,86
86,great,86
87,democratic,86
88,islamic,85
89,double,83
90,civilian,83
91,trump,82
92,lockdown,82
93,economic,81
94,un,80
95,n,80
96,senior,79
97,long,79
98,french,78
99,heavy,77
