,0
jones,8187.0
infowars,3184.0
said,3149.0
hook,2298.0
sandy,2293.0
alex,1787.0
shooting,1681.0
family,1598.0
twitter,1479.0
year,1474.0
million,1453.0
conspiracy,1435.0
damage,1370.0
also,1362.0
capitol,1324.0
musk,1277.0
people,1271.0
trump,1269.0
texas,1217.0
one,1201.0
child,1198.0
company,1141.0
show,1138.0
would,1109.0
video,1093.0
trial,1085.0
court,1072.0
school,1062.0
account,984.0
judge,970.0
right,962.0
case,945.0
day,943.0
connecticut,911.0
speech,882.0
pay,875.0
free,868.0
montoya,833.0
claim,826.0
say,821.0
jury,806.0
victim,798.0
like,773.0
bankruptcy,773.0
medium,771.0
two,761.0
parent,760.0
week,748.0
may,745.0
time,738.0
first,731.0
attack,728.0
host,715.0
lawyer,696.0
theory,689.0
president,673.0
back,668.0
made,649.0
shroyer,634.0
last,629.0
system,628.0
news,626.0
claimed,624.0
jan,621.0
house,609.0
told,594.0
website,591.0
six,590.0
state,588.0
defamation,577.0
take,577.0
killed,572.0
attorney,559.0
according,550.0
former,549.0
month,547.0
ordered,543.0
lawsuit,529.0
shot,527.0
far,520.0
riot,516.0
building,515.0
mr,510.0
going,509.0
new,509.0
election,507.0
com,506.0
hoax,505.0
platform,503.0
service,495.0
law,494.0
government,492.0
death,492.0
theorist,491.0
including,491.0
police,488.0
elementary,487.0
could,486.0
get,486.0
lie,482.0
