,3-gram,count
0,"('may', 'earn', 'affiliate')",310
1,"('earn', 'affiliate', 'commission')",310
2,"('affiliate', 'commission', 'purchase')",310
3,"('commission', 'purchase', 'something')",310
4,"('purchase', 'something', 'recommended')",310
5,"('something', 'recommended', 'link')",310
6,"('use', 'nuclear', 'weapon')",277
7,"('president', 'vladimir', 'putin')",261
8,"('recommended', 'link', 'article')",256
9,"('microsoft', 'may', 'earn')",249
10,"('pic', 'twitter', 'com')",197
11,"('russian', 'president', 'vladimir')",176
12,"('president', 'joe', 'biden')",150
13,"('president', 'recep', 'tayyip')",143
14,"('tactical', 'nuclear', 'weapon')",133
15,"('the', 'united', 'state')",129
16,"('syrian', 'democratic', 'force')",128
17,"('ban', 'ki', 'moon')",126
18,"('bashar', 'al', 'assad')",115
19,"('recep', 'tayyip', 'erdogan')",111
20,"('www', 'youtube', 'com')",109
21,"('youtube', 'com', 'watch')",108
22,"('http', 'www', 'youtube')",107
23,"('military', 'operation', 'syria')",100
24,"('turkish', 'president', 'recep')",98
25,"('kurdistan', 'worker', 'party')",98
26,"('world', 'war', 'ii')",97
27,"('worker', 'party', 'pkk')",95
28,"('youtube', 'http', 'www')",95
29,"('observatory', 'human', 'right')",94
30,"('syrian', 'observatory', 'human')",92
31,"('prime', 'minister', 'shehbaz')",91
32,"('minister', 'shehbaz', 'sharif')",91
33,"('per', 'red', 'cross')",91
34,"('use', 'dirty', 'bomb')",87
35,"('counterterrorism', 'task', 'force')",83
36,"('khyber', 'pakhtunkhwa', 'province')",83
37,"('northwestern', 'khyber', 'pakhtunkhwa')",80
38,"('united', 'state', 'mission')",78
39,"('kurdish', 'led', 'syrian')",77
40,"('by', 'united', 'state')",76
41,"('state', 'mission', 'united')",76
42,"('mission', 'united', 'nation')",76
43,"('united', 'state', 'ally')",73
44,"('using', 'nuclear', 'weapon')",70
45,"('use', 'tactical', 'nuclear')",70
46,"('read', 'more', 'the')",70
47,"('democratic', 'force', 'sdf')",70
48,"('led', 'syrian', 'democratic')",69
49,"('nuclear', 'power', 'plant')",68
50,"('people', 'protection', 'unit')",68
51,"('protection', 'unit', 'ypg')",68
52,"('link', 'article', 'the')",68
53,"('islamic', 'state', 'group')",66
54,"('pakistani', 'prime', 'minister')",66
55,"('nuclear', 'weapon', 'ukraine')",66
56,"('defense', 'minister', 'sergei')",65
57,"('minister', 'sergei', 'shoigu')",65
58,"('turkish', 'military', 'operation')",65
59,"('president', 'bashar', 'al')",64
60,"('north', 'east', 'syria')",63
61,"('one', 'dangerous', 'nation')",62
62,"('strong', 'opposition', 'new')",62
63,"('opposition', 'new', 'turkish')",62
64,"('new', 'turkish', 'military')",62
65,"('killed', 'two', 'soldier')",61
66,"('according', 'military', 'statement')",61
67,"('former', 'prime', 'minister')",60
68,"('nuclear', 'weapon', 'the')",60
69,"('dangerous', 'nation', 'world')",60
70,"('directly', 'threatened', 'safety')",59
71,"('threatened', 'safety', 'personnel')",59
72,"('safety', 'personnel', 'working')",59
73,"('pentagon', 'press', 'secretary')",58
74,"('new', 'york', 'time')",57
75,"('gen', 'pat', 'ryder')",57
76,"('the', 'associated', 'press')",56
77,"('russia', 'invasion', 'ukraine')",56
78,"('ukrainian', 'president', 'volodymyr')",55
79,"('international', 'atomic', 'energy')",52
80,"('president', 'bashar', 'assad')",52
81,"('brig', 'gen', 'pat')",52
82,"('united', 'arab', 'emirate')",51
83,"('for', 'latest', 'news')",51
84,"('atomic', 'energy', 'agency')",50
85,"('late', 'last', 'month')",50
86,"('united', 'nation', 'october')",49
87,"('nation', 'october', 'topic')",49
88,"('president', 'xi', 'jinping')",49
89,"('minister', 'imran', 'khan')",49
90,"('nuclear', 'weapon', 'without')",49
91,"('president', 'donald', 'trump')",48
92,"('secretary', 'lloyd', 'austin')",48
93,"('bhutto', 'zardari', 'said')",48
94,"('nuclear', 'weapon', 'used')",48
95,"('ukraine', 'preparing', 'use')",48
96,"('human', 'right', 'violation')",47
97,"('cuban', 'missile', 'crisis')",47
98,"('weapon', 'without', 'cohesion')",47
99,"('dera', 'ismail', 'khan')",47
