,5-gram,count
0,"('may', 'earn', 'affiliate', 'commission', 'purchase')",310
1,"('earn', 'affiliate', 'commission', 'purchase', 'something')",310
2,"('affiliate', 'commission', 'purchase', 'something', 'recommended')",310
3,"('commission', 'purchase', 'something', 'recommended', 'link')",310
4,"('purchase', 'something', 'recommended', 'link', 'article')",256
5,"('microsoft', 'may', 'earn', 'affiliate', 'commission')",249
6,"('http', 'www', 'youtube', 'com', 'watch')",107
7,"('youtube', 'http', 'www', 'youtube', 'com')",94
8,"('by', 'united', 'state', 'mission', 'united')",76
9,"('united', 'state', 'mission', 'united', 'nation')",76
10,"('kurdish', 'led', 'syrian', 'democratic', 'force')",69
11,"('turkish', 'president', 'recep', 'tayyip', 'erdogan')",68
12,"('something', 'recommended', 'link', 'article', 'the')",68
13,"('strong', 'opposition', 'new', 'turkish', 'military')",62
14,"('opposition', 'new', 'turkish', 'military', 'operation')",62
15,"('directly', 'threatened', 'safety', 'personnel', 'working')",59
16,"('new', 'turkish', 'military', 'operation', 'syria')",58
17,"('state', 'mission', 'united', 'nation', 'october')",49
18,"('mission', 'united', 'nation', 'october', 'topic')",49
19,"('for', 'latest', 'news', 'weather', 'sport')",44
20,"('latest', 'news', 'weather', 'sport', 'streaming')",44
21,"('news', 'weather', 'sport', 'streaming', 'video')",44
22,"('weather', 'sport', 'streaming', 'video', 'head')",44
23,"('the', 'statement', 'said', 'intensive', 'exchange')",42
24,"('statement', 'said', 'intensive', 'exchange', 'fire')",42
25,"('said', 'intensive', 'exchange', 'fire', 'two')",42
26,"('intensive', 'exchange', 'fire', 'two', 'soldier')",42
27,"('exchange', 'fire', 'two', 'soldier', 'fatally')",42
28,"('fire', 'two', 'soldier', 'fatally', 'wounded')",42
29,"('two', 'soldier', 'fatally', 'wounded', 'military')",42
30,"('soldier', 'fatally', 'wounded', 'military', 'action')",42
31,"('fatally', 'wounded', 'military', 'action', 'undertaken')",42
32,"('wounded', 'military', 'action', 'undertaken', 'eliminate')",42
33,"('military', 'action', 'undertaken', 'eliminate', 'fleeing')",42
34,"('action', 'undertaken', 'eliminate', 'fleeing', 'militant')",42
35,"('undertaken', 'eliminate', 'fleeing', 'militant', 'added')",42
36,"('eliminate', 'fleeing', 'militant', 'added', 'separately')",42
37,"('fleeing', 'militant', 'added', 'separately', 'country')",42
38,"('militant', 'added', 'separately', 'country', 'counterterrorism')",42
39,"('added', 'separately', 'country', 'counterterrorism', 'task')",42
40,"('separately', 'country', 'counterterrorism', 'task', 'force')",42
41,"('country', 'counterterrorism', 'task', 'force', 'announced')",42
42,"('counterterrorism', 'task', 'force', 'announced', 'arrest')",42
43,"('task', 'force', 'announced', 'arrest', 'man')",42
44,"('force', 'announced', 'arrest', 'man', 'behind')",42
45,"('announced', 'arrest', 'man', 'behind', 'killing')",42
46,"('former', 'chief', 'justice', 'noor', 'mohammad')",42
47,"('chief', 'justice', 'noor', 'mohammad', 'meskanzai')",42
48,"('justice', 'noor', 'mohammad', 'meskanzai', 'senior')",42
49,"('noor', 'mohammad', 'meskanzai', 'senior', 'officer')",42
50,"('mohammad', 'meskanzai', 'senior', 'officer', 'aitizaz')",42
51,"('meskanzai', 'senior', 'officer', 'aitizaz', 'goraya')",42
52,"('senior', 'officer', 'aitizaz', 'goraya', 'told')",42
53,"('officer', 'aitizaz', 'goraya', 'told', 'reporter')",42
54,"('aitizaz', 'goraya', 'told', 'reporter', 'shafqatullah')",42
55,"('goraya', 'told', 'reporter', 'shafqatullah', 'yalanzai')",42
56,"('told', 'reporter', 'shafqatullah', 'yalanzai', 'arrested')",42
57,"('reporter', 'shafqatullah', 'yalanzai', 'arrested', 'kharan')",42
58,"('shafqatullah', 'yalanzai', 'arrested', 'kharan', 'judge')",42
59,"('yalanzai', 'arrested', 'kharan', 'judge', 'killed')",42
60,"('arrested', 'kharan', 'judge', 'killed', 'gun')",42
61,"('kharan', 'judge', 'killed', 'gun', 'attack')",42
62,"('judge', 'killed', 'gun', 'attack', 'near')",42
63,"('killed', 'gun', 'attack', 'near', 'mosque')",42
64,"('gun', 'attack', 'near', 'mosque', 'two')",42
65,"('attack', 'near', 'mosque', 'two', 'week')",42
66,"('near', 'mosque', 'two', 'week', 'ago')",42
67,"('mosque', 'two', 'week', 'ago', 'the')",42
68,"('two', 'week', 'ago', 'the', 'officer')",42
69,"('week', 'ago', 'the', 'officer', 'said')",42
70,"('ago', 'the', 'officer', 'said', 'suspect')",42
71,"('the', 'officer', 'said', 'suspect', 'member')",42
72,"('officer', 'said', 'suspect', 'member', 'outlawed')",42
73,"('said', 'suspect', 'member', 'outlawed', 'baluchistan')",42
74,"('suspect', 'member', 'outlawed', 'baluchistan', 'liberation')",42
75,"('member', 'outlawed', 'baluchistan', 'liberation', 'army')",42
76,"('outlawed', 'baluchistan', 'liberation', 'army', 'claimed')",42
77,"('baluchistan', 'liberation', 'army', 'claimed', 'responsibility')",42
78,"('liberation', 'army', 'claimed', 'responsibility', 'killing')",42
79,"('army', 'claimed', 'responsibility', 'killing', 'goraya')",42
80,"('claimed', 'responsibility', 'killing', 'goraya', 'claimed')",42
81,"('responsibility', 'killing', 'goraya', 'claimed', 'suspect')",42
82,"('killing', 'goraya', 'claimed', 'suspect', 'allegedly')",42
83,"('goraya', 'claimed', 'suspect', 'allegedly', 'confessed')",42
84,"('claimed', 'suspect', 'allegedly', 'confessed', 'role')",42
85,"('suspect', 'allegedly', 'confessed', 'role', 'slaying')",42
86,"('allegedly', 'confessed', 'role', 'slaying', 'also')",42
87,"('confessed', 'role', 'slaying', 'also', 'revealed')",42
88,"('role', 'slaying', 'also', 'revealed', 'detail')",42
89,"('slaying', 'also', 'revealed', 'detail', 'group')",42
90,"('also', 'revealed', 'detail', 'group', 'baluchistan')",42
91,"('revealed', 'detail', 'group', 'baluchistan', 'rich')",42
92,"('detail', 'group', 'baluchistan', 'rich', 'mineral')",42
93,"('group', 'baluchistan', 'rich', 'mineral', 'resource')",42
94,"('baluchistan', 'rich', 'mineral', 'resource', 'scene')",42
95,"('rich', 'mineral', 'resource', 'scene', 'low')",42
96,"('mineral', 'resource', 'scene', 'low', 'level')",42
97,"('resource', 'scene', 'low', 'level', 'insurgency')",42
98,"('scene', 'low', 'level', 'insurgency', 'separatist')",42
99,"('low', 'level', 'insurgency', 'separatist', 'group')",42
