,verb,count
0,said,2114
1,sat,804
2,sun,671
3,fri,559
4,get,514
5,wed,511
6,thur,451
7,say,443
8,mon,411
9,told,407
10,left,364
11,t,292
12,killed,291
13,made,290
14,come,288
15,go,278
16,take,274
17,including,259
18,make,245
19,going,234
20,tues,231
21,leave,220
22,according,211
23,see,205
24,need,202
25,trying,199
26,pg,199
27,took,198
28,seen,194
29,want,192
30,hit,184
31,working,184
32,added,175
33,know,171
34,called,165
35,following,154
36,saying,145
37,pictured,145
38,stranded,143
39,put,142
40,coming,142
41,set,142
42,came,136
43,kabul,135
44,think,133
45,taken,131
46,save,125
47,continue,124
48,done,122
49,warning,122
50,got,119
51,asked,118
52,reported,115
53,found,114
54,expected,113
55,evacuated,110
56,keep,109
57,re,109
58,getting,108
59,sent,107
60,announced,103
61,find,102
62,warned,102
63,wounded,101
64,read,100
65,taking,100
66,given,99
67,lost,96
68,used,95
69,based,94
70,run,93
71,believe,93
72,worked,92
73,missing,91
74,turned,90
75,went,89
76,s,89
77,began,87
78,led,87
79,leaving,87
80,afghanistan,86
81,died,86
82,remain,86
83,waiting,86
84,stand,85
85,wrote,85
86,forced,85
87,allowed,83
88,making,82
89,using,82
90,confirmed,82
91,thought,82
92,continues,77
93,caused,77
94,helped,76
95,closed,75
96,claimed,74
97,snow,74
98,running,73
99,issued,73
