,3-gram,count
0,"('pg', 'hr', 'min')",392
1,"('nr', 'hr', 'min')",197
2,"('hr', 'min', 'epix')",81
3,"('hr', 'min', 'tcm')",78
4,"('audio', 'woman', 'welded')",59
5,"('woman', 'welded', 'home')",59
6,"('welded', 'home', 'begging')",59
7,"('leap', 'death', 'latest')",58
8,"('death', 'latest', 'lockdown')",58
9,"('latest', 'lockdown', 'drove')",58
10,"('resident', 'escorted', 'away')",57
11,"('escorted', 'away', 'russian')",57
12,"('away', 'russian', 'soldier')",57
13,"('hamid', 'karzai', 'international')",57
14,"('people', 'killed', 'wounded')",56
15,"('killed', 'wounded', 'missing')",56
16,"('wounded', 'missing', 'four')",56
17,"('missing', 'four', 'daysrussian')",56
18,"('four', 'daysrussian', 'general')",56
19,"('daysrussian', 'general', 'face')",56
20,"('general', 'face', 'mutinous')",56
21,"('face', 'mutinous', 'troop')",56
22,"('flee', 'burning', 'tank')",56
23,"('burning', 'tank', 'unit')",56
24,"('tank', 'unit', 'targeted')",56
25,"('star', 'film', 'box')",55
26,"('film', 'box', 'office')",55
27,"('box', 'office', 'hit')",55
28,"('office', 'hit', 'indie')",55
29,"('hit', 'indie', 'import')",55
30,"('indie', 'import', 'movie')",55
31,"('lockdown', 'drove', 'despairflaming')",55
32,"('drove', 'despairflaming', 'bright')",55
33,"('despairflaming', 'bright', 'meteor')",55
34,"('bright', 'meteor', 'drop')",55
35,"('president', 'joe', 'biden')",54
36,"('meteor', 'drop', 'sky')",54
37,"('drop', 'sky', 'rural')",54
38,"('carter', 'girlfriend', 'sob')",54
39,"('girlfriend', 'sob', 'outside')",54
40,"('sob', 'outside', 'home')",54
41,"('outside', 'home', 'news')",54
42,"('say', 'done', 'twitter')",54
43,"('done', 'twitter', 'elon')",54
44,"('twitter', 'elon', 'messy')",54
45,"('hr', 'min', 'hbo')",51
46,"('karzai', 'international', 'airport')",51
47,"('unit', 'targeted', 'ukrainiansdistressing')",50
48,"('targeted', 'ukrainiansdistressing', 'audio')",50
49,"('ukrainiansdistressing', 'audio', 'woman')",50
50,"('hr', 'min', 'starz')",49
51,"('double', 'mastectomy', 'speaks')",47
52,"('mastectomy', 'speaks', 'committee')",47
53,"('carter', 'argues', 'neighbor')",47
54,"('argues', 'neighbor', 'call')",47
55,"('neighbor', 'call', 'washed')",47
56,"('call', 'washed', 'up')",47
57,"('ifc', 'tues', 'ifc')",46
58,"('sky', 'rural', 'californiaaaron')",46
59,"('rural', 'californiaaaron', 'carter')",46
60,"('californiaaaron', 'carter', 'girlfriend')",46
61,"('russian', 'soldier', 'executedwhoopi')",46
62,"('soldier', 'executedwhoopi', 'say')",46
63,"('executedwhoopi', 'say', 'done')",46
64,"('hr', 'min', 'encore')",45
65,"('first', 'key', 'message')",45
66,"('home', 'begging', 'releasedwoman')",44
67,"('begging', 'releasedwoman', 'double')",44
68,"('releasedwoman', 'double', 'mastectomy')",44
69,"('washed', 'up', 'mother')",44
70,"('up', 'mother', 'leap')",44
71,"('mother', 'leap', 'death')",44
72,"('thief', 'knock', 'trying')",43
73,"('knock', 'trying', 'flee')",43
74,"('trying', 'flee', 'louis')",43
75,"('flee', 'louis', 'vuitton')",43
76,"('ifc', 'sun', 'ifc')",42
77,"('ifc', 'fri', 'ifc')",40
78,"('hr', 'min', 'tmc')",38
79,"('home', 'news', 'deathukrainian')",38
80,"('news', 'deathukrainian', 'resident')",38
81,"('deathukrainian', 'resident', 'escorted')",38
82,"('mutinous', 'troop', 'ukraineteen')",37
83,"('troop', 'ukraineteen', 'thief')",37
84,"('ukraineteen', 'thief', 'knock')",37
85,"('second', 'key', 'message')",37
86,"('hour', 'hour', 'hour')",37
87,"('four', 'star', 'film')",36
88,"('speaks', 'committee', 'meetingaaron')",36
89,"('committee', 'meetingaaron', 'carter')",36
90,"('meetingaaron', 'carter', 'argues')",36
91,"('outside', 'kabul', 'airport')",36
92,"('save', 'our', 'ally')",36
93,"('ifc', 'wed', 'ifc')",35
94,"('tues', 'ifc', 'wed')",35
95,"('louis', 'vuitton', 'storerussians')",34
96,"('vuitton', 'storerussians', 'flee')",34
97,"('storerussians', 'flee', 'burning')",34
98,"('hr', 'min', 'cmax')",31
99,"('pic', 'twitter', 'com')",31
