,noun,count
0,war,4325
1,state,4103
2,country,3752
3,russia,3294
4,force,3121
5,people,2986
6,attack,2602
7,president,2507
8,year,2481
9,syria,2334
10,world,2329
11,government,2272
12,time,2142
13,security,2023
14,group,2018
15,weapon,1898
16,pakistan,1736
17,day,1531
18,s,1516
19,iran,1480
20,power,1465
21,news,1368
22,minister,1359
23,operation,1341
24,region,1325
25,putin,1324
26,leader,1312
27,part,1226
28,nation,1215
29,policy,1156
30,troop,1147
31,threat,1123
32,defense,1110
33,use,1088
34,report,1057
35,official,1054
36,medium,1050
37,way,1046
38,turkey,1038
39,area,1027
40,border,1015
41,support,1014
42,strike,1014
43,china,957
44,israel,952
45,week,935
46,missile,928
47,ground,926
48,member,915
49,statement,911
50,bomb,909
51,party,893
52,month,886
53,city,858
54,army,844
55,action,841
56,article,808
57,invasion,797
58,al,778
59,conflict,772
60,t,758
61,law,746
62,life,745
63,fact,728
64,air,727
65,point,719
66,ukraine,715
67,order,711
68,khan,709
69,peace,696
70,place,682
71,police,674
72,effort,674
73,agency,658
74,authority,655
75,intelligence,653
76,issue,652
77,interest,649
78,iraq,646
79,number,644
80,today,643
81,washington,641
82,concern,640
83,case,638
84,information,625
85,regime,624
86,control,620
87,trump,612
88,administration,609
89,house,607
90,something,604
91,change,603
92,term,603
93,system,599
94,position,595
95,family,582
96,claim,580
97,work,579
98,end,578
99,thing,576
