,5-gram,count
0,"('audio', 'woman', 'welded', 'home', 'begging')",59
1,"('leap', 'death', 'latest', 'lockdown', 'drove')",58
2,"('resident', 'escorted', 'away', 'russian', 'soldier')",57
3,"('people', 'killed', 'wounded', 'missing', 'four')",56
4,"('killed', 'wounded', 'missing', 'four', 'daysrussian')",56
5,"('wounded', 'missing', 'four', 'daysrussian', 'general')",56
6,"('missing', 'four', 'daysrussian', 'general', 'face')",56
7,"('four', 'daysrussian', 'general', 'face', 'mutinous')",56
8,"('daysrussian', 'general', 'face', 'mutinous', 'troop')",56
9,"('flee', 'burning', 'tank', 'unit', 'targeted')",56
10,"('star', 'film', 'box', 'office', 'hit')",55
11,"('film', 'box', 'office', 'hit', 'indie')",55
12,"('box', 'office', 'hit', 'indie', 'import')",55
13,"('office', 'hit', 'indie', 'import', 'movie')",55
14,"('death', 'latest', 'lockdown', 'drove', 'despairflaming')",55
15,"('latest', 'lockdown', 'drove', 'despairflaming', 'bright')",55
16,"('lockdown', 'drove', 'despairflaming', 'bright', 'meteor')",55
17,"('drove', 'despairflaming', 'bright', 'meteor', 'drop')",55
18,"('despairflaming', 'bright', 'meteor', 'drop', 'sky')",54
19,"('bright', 'meteor', 'drop', 'sky', 'rural')",54
20,"('carter', 'girlfriend', 'sob', 'outside', 'home')",54
21,"('girlfriend', 'sob', 'outside', 'home', 'news')",54
22,"('say', 'done', 'twitter', 'elon', 'messy')",54
23,"('burning', 'tank', 'unit', 'targeted', 'ukrainiansdistressing')",50
24,"('tank', 'unit', 'targeted', 'ukrainiansdistressing', 'audio')",50
25,"('unit', 'targeted', 'ukrainiansdistressing', 'audio', 'woman')",50
26,"('targeted', 'ukrainiansdistressing', 'audio', 'woman', 'welded')",50
27,"('ukrainiansdistressing', 'audio', 'woman', 'welded', 'home')",50
28,"('carter', 'argues', 'neighbor', 'call', 'washed')",47
29,"('argues', 'neighbor', 'call', 'washed', 'up')",47
30,"('meteor', 'drop', 'sky', 'rural', 'californiaaaron')",46
31,"('drop', 'sky', 'rural', 'californiaaaron', 'carter')",46
32,"('sky', 'rural', 'californiaaaron', 'carter', 'girlfriend')",46
33,"('rural', 'californiaaaron', 'carter', 'girlfriend', 'sob')",46
34,"('californiaaaron', 'carter', 'girlfriend', 'sob', 'outside')",46
35,"('escorted', 'away', 'russian', 'soldier', 'executedwhoopi')",46
36,"('away', 'russian', 'soldier', 'executedwhoopi', 'say')",46
37,"('russian', 'soldier', 'executedwhoopi', 'say', 'done')",46
38,"('soldier', 'executedwhoopi', 'say', 'done', 'twitter')",46
39,"('executedwhoopi', 'say', 'done', 'twitter', 'elon')",46
40,"('woman', 'welded', 'home', 'begging', 'releasedwoman')",44
41,"('welded', 'home', 'begging', 'releasedwoman', 'double')",44
42,"('home', 'begging', 'releasedwoman', 'double', 'mastectomy')",44
43,"('begging', 'releasedwoman', 'double', 'mastectomy', 'speaks')",44
44,"('releasedwoman', 'double', 'mastectomy', 'speaks', 'committee')",44
45,"('neighbor', 'call', 'washed', 'up', 'mother')",44
46,"('call', 'washed', 'up', 'mother', 'leap')",44
47,"('washed', 'up', 'mother', 'leap', 'death')",44
48,"('up', 'mother', 'leap', 'death', 'latest')",44
49,"('mother', 'leap', 'death', 'latest', 'lockdown')",44
50,"('thief', 'knock', 'trying', 'flee', 'louis')",43
51,"('knock', 'trying', 'flee', 'louis', 'vuitton')",43
52,"('sob', 'outside', 'home', 'news', 'deathukrainian')",38
