,adjective,count
0,nuclear,4867
1,military,3511
2,russian,3177
3,u,2966
4,ukraine,2715
5,new,2031
6,united,1732
7,syrian,1578
8,s,1429
9,many,1365
10,international,1358
11,american,1356
12,political,1217
13,turkish,1154
14,ukrainian,1139
15,foreign,1115
16,pakistan,1105
17,last,1087
18,national,1074
19,western,1070
20,former,899
21,first,876
22,right,868
23,global,833
24,iranian,806
25,recent,806
26,human,799
27,islamic,766
28,economic,744
29,general,705
30,israeli,678
31,kurdish,655
32,much,640
33,north,626
34,un,621
35,civilian,610
36,least,609
37,european,604
38,public,601
39,prime,599
40,major,591
41,soviet,587
42,russia,580
43,several,576
44,west,550
45,good,543
46,strategic,537
47,nato,532
48,real,517
49,high,516
50,long,516
51,social,506
52,northern,495
53,possible,486
54,clear,481
55,chinese,471
56,important,470
57,local,469
58,top,469
59,official,468
60,democratic,468
61,eastern,464
62,terrorist,461
63,israel,456
64,second,451
65,white,450
66,east,437
67,iran,437
68,indian,436
69,senior,428
70,old,421
71,regional,414
72,turkey,414
73,next,413
74,soldier,409
75,full,402
76,great,401
77,central,391
78,latest,390
79,isi,381
80,biden,376
81,large,374
82,british,372
83,current,358
84,different,358
85,due,354
86,free,352
87,middle,350
88,special,350
89,best,350
90,palestinian,345
91,arab,338
92,likely,337
93,main,324
94,armenian,322
95,able,321
96,civil,317
97,key,313
98,dead,313
99,financial,309
