,0
conspiracy,4750.0
said,3869.0
theory,3822.0
people,3347.0
trump,3333.0
pizzagate,3027.0
de,2907.0
one,2905.0
right,2826.0
year,2606.0
child,2601.0
like,2488.0
also,2188.0
time,2152.0
election,2149.0
news,2086.0
medium,2061.0
la,1772.0
new,1768.0
qanon,1660.0
twitter,1648.0
say,1629.0
campaign,1603.0
would,1582.0
clinton,1537.0
video,1519.0
state,1443.0
republican,1429.0
even,1381.0
day,1377.0
president,1250.0
know,1248.0
jones,1240.0
party,1226.0
social,1219.0
comet,1210.0
pizza,1206.0
former,1192.0
post,1192.0
story,1179.0
told,1171.0
may,1164.0
political,1158.0
first,1155.0
sex,1149.0
man,1132.0
restaurant,1114.0
claim,1098.0
group,1087.0
get,1081.0
two,1065.0
online,1061.0
week,1055.0
last,1049.0
think,1037.0
washington,1033.0
make,1020.0
donald,1017.0
depape,1015.0
lake,982.0
many,976.0
world,970.0
called,968.0
comment,968.0
police,963.0
ping,958.0
going,954.0
que,951.0
way,950.0
pong,947.0
shooting,943.0
show,934.0
message,933.0
go,928.0
trafficking,926.0
could,913.0
something,893.0
far,889.0
made,885.0
part,881.0
according,862.0
information,857.0
attack,853.0
ring,853.0
democrat,852.0
welch,845.0
thing,845.0
email,842.0
life,831.0
including,818.0
arizona,808.0
le,807.0
much,795.0
site,787.0
en,784.0
facebook,782.0
account,777.0
found,770.0
old,769.0
hillary,763.0
