,verb,count
0,said,6347
1,say,1406
2,killed,1239
3,according,1232
4,told,1224
5,including,1143
6,made,956
7,take,888
8,make,877
9,t,868
10,called,855
11,go,774
12,used,740
13,get,665
14,based,665
15,led,663
16,want,660
17,know,653
18,put,642
19,come,642
20,going,606
21,left,594
22,see,591
23,think,586
24,armed,576
25,reported,550
26,following,546
27,added,545
28,killing,526
29,need,525
30,read,511
31,using,498
32,is,482
33,bombing,468
34,seen,463
35,believe,445
36,working,438
37,claimed,435
38,took,425
39,saying,419
40,held,418
41,given,416
42,came,414
43,launched,403
44,announced,394
45,began,375
46,s,374
47,known,373
48,found,368
49,fighting,367
50,set,358
51,backed,357
52,continue,352
53,keep,351
54,russia,345
55,making,345
56,syria,338
57,warned,329
58,taken,329
59,recommended,321
60,earn,319
61,asked,316
62,taking,314
63,do,310
64,remains,305
65,become,305
66,done,304
67,carried,299
68,trying,287
69,involved,286
70,lost,277
71,released,275
72,hit,273
73,accused,271
74,published,271
75,confirmed,271
76,wounded,268
77,give,268
78,arrested,264
79,got,261
80,continued,257
81,united,253
82,became,252
83,continues,251
84,started,251
85,went,251
86,run,248
87,wanted,245
88,targeting,244
89,threatened,244
90,use,242
91,conducted,242
92,seems,241
93,coming,239
94,forced,239
95,pakistan,239
96,happened,238
97,find,238
98,provide,236
99,sent,232
